"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"1897",5000,5000,44,3,0.121951219512195,1,1,1346405699,2575501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1898",200,320.37,17,0,0.176470588235294,0,0,1356066940,1125860,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1899",7500,7500,47,0,0.0212765957446809,1,1,1404857981,2529619,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1900",2e+05,25738.37,56,1,0.163636363636364,0,0,1485532607,5144593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1901",20000,20000,7,0,0.142857142857143,1,1,1383704469,2518731,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1902",500,500,57,4,0.226415094339623,1,1,1431477030,2521770,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1903",500,453.8,37,1,0.194444444444444,0,0,1396487027,1655773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1904",3500,5444.08,17,0,0.176470588235294,0,0,1364928317,2542483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1906",18000,18000,29,0,0.0689655172413793,1,1,1423784025,3821175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1907",4990,3360.04,47,6,0.121951219512195,0,0,1461689981,2548819,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1908",750,750,22,0,0.181818181818182,1,1,1333347158,3797242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1909",350000,40140.38,14,1,0.230769230769231,0,0,1494260545,2983055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1910",15000,23165.67,46,1,0.111111111111111,0,0,1419642593,5115007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1911",30650,30650,60,1,0.0677966101694915,1,1,1289004992,7707808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1912",1500,1500,54,1,0.150943396226415,1,1,1393927862,2573338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1913",75000,75000,20,0,0.3,1,1,1323144653,5104147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1914",2500,117.5,36,1,0.114285714285714,0,0,1480550482,2699918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1916",1200,1200,20,0,0.15,1,1,1452051676,2513924,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1917",4000,4000,16,0,0.1875,1,1,1341537810,4937790,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1918",500,500,55,3,0.403846153846154,1,1,1504663406,2516194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1919",45000,45000,58,2,0.375,1,1,1394674093,2604707,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1920",25000,25000,36,0,0.138888888888889,1,1,1382767214,3110386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1922",15000,15000,37,3,0.0882352941176471,1,1,1325437675,2551925,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1923",35000,25579.19,39,0,0.0256410256410256,0,0,1448952894,2588706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1924",2500,2500,52,0,0.134615384615385,1,1,1311667990,1716410,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1926",10000,16582.37,5,0,0.2,0,0,1407379065,1736535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1927",40000,41755.83,43,0,0.0232558139534884,0,0,1479153426,2541774,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1928",300,300,27,0,0.148148148148148,1,1,1463194685,784915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1929",10000,10000,54,2,0.115384615384615,1,1,1479321109,2633291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1930",2500,2500,23,0,0.130434782608696,1,1,1342765430,3018970,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1931",8000,9570.41,53,4,0.183673469387755,0,0,1502136522,3142278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1932",1000,1000,56,3,0.0188679245283019,1,1,1379638014,2520786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1933",5200,8678.82,18,1,0.176470588235294,0,0,1405404601,2587799,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1934",2000,3084.61,41,1,0.175,0,0,1439310017,2551183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1935",12500,12500,60,2,0.120689655172414,1,1,1463434965,2531835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1936",80000,80000,43,0,0.209302325581395,1,1,1404176440,2779160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1937",7500,10943.47,60,1,0.0338983050847458,0,0,1427277947,1277653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1938",10000,13167.08,14,0,0.142857142857143,0,0,1465861832,3820168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1939",20000,20000,59,1,0.137931034482759,1,1,1474089375,2591025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
