"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","target"
"178",9500,9500,12,0,0.166666666666667,1,1,1424741999,5109601,0
"179",5000,5000,25,1,0.208333333333333,1,1,1381373716,2081084,1
"180",10000,10000,60,3,0.140350877192982,1,1,1440730979,2512621,0
"181",500,856,11,0,0.0909090909090909,0,0,1402414580,2553820,0
"182",50000,50000,20,0,0.15,1,1,1431917080,2513720,0
"183",4000,4000,43,2,0.146341463414634,1,1,1472761927,2536073,1
"186",5500,8592.68,32,1,0.129032258064516,0,0,1368471563,2541637,1
"187",5000,5000,58,3,0.0909090909090909,1,1,1410311843,2173357,1
"188",40000,64074.84,51,4,0.148936170212766,0,0,1354218890,2541910,1
"189",4000,4000,65,1,0.078125,1,1,1280550195,4322205,0
"190",19650,19650,22,0,0.136363636363636,1,1,1402323006,2558994,1
"191",800,800,19,0,0.210526315789474,1,1,1323411802,2763398,1
"192",275,275,56,0,0.125,1,1,1420279943,1194457,1
"193",14000,14000,19,0,0.263157894736842,1,1,1418996951,2563849,0
"194",15000,15000,26,1,0.4,1,1,1462597372,5183828,1
"195",55000,2658.03,57,3,0.518518518518518,0,0,1479549923,2750077,1
"196",2500,2500,27,2,0.12,1,1,1447333584,2566416,0
"197",2000,2000,4,0,0.25,1,1,1503500363,2556037,0
"198",10000,12554.61,29,0,0.137931034482759,0,0,1485382881,2533119,0
"199",200,262.92,52,2,0.18,0,0,1499381348,2095852,0
"200",2500,3913.65,31,0,0.161290322580645,0,0,1413768923,1830277,1
"201",35000,35000,27,0,0.222222222222222,1,1,1434408905,2527495,1
"203",5000,5000,34,0,0.176470588235294,1,1,1486100966,2247034,0
"204",50000,38112.66,37,0,0.108108108108108,0,0,1480648587,4502613,0
"205",3000,3000,47,2,0.133333333333333,1,1,1437597070,1585730,1
"206",17500,17500,41,1,0.075,1,1,1466428203,2562597,0
"207",500,500,12,0,0.166666666666667,1,1,1327746137,2576263,0
"208",5000,5000,53,2,0.137254901960784,1,1,1305688630,1993370,0
"209",4450,516.03,57,1,0.107142857142857,0,0,1466298960,2519040,1
"210",4000,4000,42,0,0.142857142857143,1,1,1461977602,2779598,1
"211",15000,23164.59,55,3,0.153846153846154,0,0,1441402403,3050797,1
"212",3286,3432.57,57,2,0.745454545454545,0,0,1479516687,2524113,1
"213",8000,8000,29,0,0.172413793103448,1,1,1427313526,2538074,0
"214",700,826.42,36,1,0.114285714285714,0,0,1507987555,5157245,0
"216",38875,35895.66,15,0,0.133333333333333,0,0,1397101156,2424044,0
"217",9000,9000,37,1,0.111111111111111,1,1,1347445926,2485674,1
